time,ax,ay,az,atotal
0.0,0.05,-0.04,-0.54,0.55
0.01,0.05,-0.13,-0.5,0.52
0.02,0.04,-0.18,-0.47,0.51
0.03,0.01,-0.18,-0.48,0.52
0.04,-0.01,-0.12,-0.51,0.53
0.05,-0.02,-0.09,-0.55,0.56
0.06,-0.02,-0.12,-0.58,0.59
0.07,0.01,-0.16,-0.61,0.63
0.08,0.05,-0.18,-0.6,0.63
0.09,0.11,-0.18,-0.57,0.61
0.1,0.19,-0.14,-0.53,0.58
0.109,0.25,-0.06,-0.47,0.53
0.12,0.28,0.0,-0.43,0.51
0.129,0.28,0.04,-0.36,0.46
0.14,0.27,0.09,-0.31,0.42
0.149,0.24,0.14,-0.28,0.4
0.159,0.23,0.27,-0.13,0.38
0.169,0.28,0.38,0.17,0.5
0.18,0.23,0.21,0.49,0.58
0.189,0.16,-0.0,0.75,0.77
0.199,0.11,-0.08,1.08,1.08
0.209,0.07,-0.19,1.39,1.4
0.219,0.03,-0.23,1.63,1.65
0.229,-0.01,-0.26,1.72,1.74
0.239,-0.06,-0.28,1.69,1.71
0.249,-0.09,-0.19,1.49,1.5
0.259,-0.1,-0.25,0.99,1.03
0.269,-0.09,-0.35,0.4,0.54
0.279,-0.02,-0.31,-0.05,0.31
0.289,0.06,-0.23,-0.47,0.53
0.299,0.17,-0.17,-0.84,0.87
0.309,0.25,-0.08,-1.1,1.13
0.319,0.3,-0.03,-1.28,1.31
0.329,0.34,0.01,-1.36,1.4
0.339,0.35,0.1,-1.32,1.37
0.349,0.32,0.13,-1.19,1.24
0.359,0.26,0.1,-0.97,1.01
0.369,0.16,0.04,-0.74,0.75
0.379,0.07,-0.06,-0.49,0.5
0.389,-0.0,-0.12,-0.27,0.3
0.399,-0.07,-0.08,-0.14,0.17
0.408,-0.12,-0.06,-0.07,0.15
0.419,-0.15,-0.1,-0.08,0.2
0.428,-0.16,0.0,-0.17,0.24
0.438,-0.13,0.17,-0.32,0.39
0.448,-0.09,0.16,-0.46,0.49
0.458,-0.04,-0.01,-0.59,0.6
0.468,-0.02,-0.07,-0.73,0.74
0.478,0.01,-0.0,-0.84,0.84
0.488,0.04,0.11,-0.89,0.9
0.498,0.05,0.23,-0.89,0.92
0.508,0.03,0.28,-0.82,0.87
0.518,0.02,0.31,-0.69,0.75
0.528,-0.04,0.3,-0.54,0.62
0.538,-0.07,0.22,-0.39,0.46
0.548,-0.11,0.19,-0.27,0.35
0.558,-0.14,0.21,-0.18,0.31
0.568,-0.17,0.12,-0.1,0.23
0.578,-0.2,-0.07,-0.04,0.22
0.588,-0.21,-0.25,-0.03,0.33
0.598,-0.21,-0.4,-0.05,0.45
0.607,-0.17,-0.45,-0.08,0.49
0.618,-0.1,-0.43,-0.17,0.48
0.628,-0.04,-0.35,-0.26,0.44
0.638,0.02,-0.23,-0.32,0.39
0.647,0.08,-0.12,-0.37,0.4
0.657,0.13,-0.02,-0.38,0.4
0.667,0.13,-0.01,-0.37,0.39
0.677,0.14,0.0,-0.32,0.35
0.687,0.16,0.02,-0.24,0.29
0.697,0.15,0.03,-0.13,0.2
0.707,0.14,0.01,-0.04,0.15
0.717,0.13,-0.02,0.06,0.15
0.727,0.12,-0.01,0.15,0.19
0.737,0.11,0.05,0.19,0.23
0.747,0.09,0.09,0.22,0.26
0.757,0.12,0.07,0.25,0.28
0.767,0.14,0.02,0.26,0.29
0.777,0.16,-0.04,0.26,0.31
0.787,0.19,-0.12,0.22,0.31
0.797,0.2,-0.13,0.18,0.3
0.807,0.22,-0.08,0.14,0.27
0.817,0.24,-0.06,0.08,0.26
0.827,0.25,-0.04,0.05,0.26
0.837,0.24,-0.08,0.06,0.26
0.847,0.24,-0.2,0.07,0.32
0.857,0.23,-0.23,0.07,0.33
0.866,0.23,-0.21,0.11,0.33
0.876,0.22,-0.18,0.14,0.32
0.886,0.22,-0.16,0.18,0.32
0.897,0.21,-0.16,0.2,0.33
0.906,0.22,-0.1,0.2,0.31
0.916,0.22,-0.0,0.19,0.29
0.926,0.25,0.11,0.17,0.32
0.936,0.28,0.17,0.13,0.35
0.946,0.31,0.18,0.09,0.37
0.956,0.33,0.21,0.02,0.39
0.966,0.34,0.26,-0.01,0.43
0.976,0.35,0.32,-0.05,0.48
0.986,0.35,0.26,0.06,0.44
0.997,0.45,-0.07,3.48,3.51
1.006,0.66,0.04,2.28,2.38
1.016,0.73,-0.24,1.87,2.02
1.026,0.72,-0.18,2.23,2.36
1.036,0.24,-0.02,0.34,0.41
1.046,-0.0,-0.34,0.07,0.34
1.056,0.01,-0.31,-0.36,0.47
1.066,0.08,-0.12,-0.73,0.74
1.076,0.07,-0.08,-0.68,0.69
1.086,0.05,-0.13,-0.41,0.43
1.096,-0.02,-0.25,-0.09,0.27
1.106,-0.1,-0.33,0.2,0.39
1.116,-0.15,-0.32,0.55,0.65
1.125,-0.17,-0.27,0.8,0.86
1.135,-0.1,-0.13,0.8,0.82
1.145,0.17,-0.08,0.55,0.58
1.155,0.25,-0.1,0.2,0.33
1.165,0.14,-0.03,-0.34,0.37
1.175,0.08,0.08,-0.73,0.74
1.185,0.1,0.06,-1.0,1.0
1.195,0.13,0.01,-1.19,1.2
1.205,0.17,0.04,-1.33,1.34
1.215,0.23,0.15,-1.34,1.37
1.225,0.42,0.15,-1.35,1.42
1.235,0.61,0.17,-1.19,1.35
1.245,0.45,0.19,-0.29,0.57
1.255,0.11,0.06,0.31,0.34
1.265,-0.29,-0.02,0.3,0.42
1.275,-0.38,-0.1,0.25,0.46
1.285,-0.41,-0.17,0.22,0.49
1.295,-0.34,-0.1,0.06,0.36
1.305,-0.23,-0.08,-0.36,0.44
1.315,-0.2,-0.07,-0.78,0.81
1.324,-0.13,0.08,-0.97,0.98
1.335,-0.11,0.13,-0.92,0.93
1.344,-0.04,0.09,-0.91,0.92
1.355,-0.08,-0.06,-0.92,0.92
1.364,-0.21,-0.16,-0.75,0.79
1.374,-0.28,-0.27,-0.63,0.74
1.384,-0.42,-0.44,-0.57,0.84
1.394,-0.52,-0.51,-0.49,0.88
1.404,-0.15,-0.36,-0.71,0.81
1.414,0.53,-0.24,-0.95,1.11
1.424,0.81,-0.24,-1.15,1.43
1.434,0.88,-0.17,-0.93,1.29
1.444,0.87,-0.17,-0.32,0.95
1.454,0.76,-0.11,0.25,0.81
1.464,0.63,0.0,0.57,0.85
1.474,0.44,0.16,0.87,0.99
1.484,0.52,0.3,0.9,1.08
1.494,0.85,0.35,0.26,0.95
1.504,1.01,0.38,-0.17,1.09
1.514,0.71,0.26,-0.27,0.8
1.524,0.32,0.2,-0.3,0.49
1.534,0.22,0.2,0.06,0.3
1.544,0.27,0.14,0.27,0.41
1.554,0.03,0.01,0.81,0.81
1.564,-0.34,-0.04,1.17,1.22
1.574,-0.58,-0.07,1.22,1.35
1.584,-0.56,-0.01,1.1,1.23
1.594,-0.57,0.03,0.69,0.89
1.603,-0.62,0.07,-0.2,0.65
1.614,-0.67,-0.01,-0.99,1.2
1.623,-0.63,-0.1,-0.86,1.07
1.633,-0.48,-0.23,0.09,0.54
1.643,-0.25,-0.28,0.53,0.65
1.653,-0.15,-0.21,0.65,0.7
1.663,-0.25,-0.06,0.52,0.58
1.673,-0.55,-0.07,0.08,0.56
1.683,-0.75,-0.06,-0.34,0.83
1.693,-0.82,0.04,-0.58,1.01
1.703,-0.72,0.04,-0.59,0.94
