event_name,derivative_method,smoothing,method,derivative_window,dtau_std,dV_std,dV_roughness
short,central,raw,central,31,2.7291379985576123,404.36592724045386,0.9372157190102287
short,central,light,central,31,1.2015472388762167,218.45185837642174,0.17815986654220978
short,central,strong,central,151,1.1054090588929637,195.7364483317752,0.10873536700360593
short,savgol,raw,savgol,31,1.1878424414231374,214.82916398267915,0.053107542146789755
short,savgol,light,savgol,31,1.1703275227878904,213.59681110643152,0.03585060863922986
short,savgol,strong,savgol,151,1.087753356736116,189.01841697344378,0.019597843554333128
short,spline,raw,spline,31,4.5270029716428954,505.81660479999596,1.0943993266950753
short,spline,light,spline,31,1.2540877278011777,227.57716601836154,0.29825991325897183
short,spline,strong,spline,151,1.1458760942746926,202.8611946068854,0.2411645377883964
medium,central,raw,central,31,0.5163950288143101,61.606826620748116,1.0780976722932478
medium,central,light,central,31,0.15662755218241803,28.698494213329504,0.18709227784340277
medium,central,strong,central,151,0.05276096171053135,7.414847254161504,0.10987733194676719
medium,savgol,raw,savgol,31,0.16111351878911614,30.725207436095392,0.17437479317402832
medium,savgol,light,savgol,31,0.14923353124742825,27.067808022133168,0.1308972971199933
medium,savgol,strong,savgol,151,0.047379040238198326,6.406564631509927,0.03280378857050222
medium,spline,raw,spline,31,0.7119752720114924,86.50849982052101,1.3713055846392759
medium,spline,light,spline,31,0.1593177716775213,29.051046497138625,0.23477957785447623
medium,spline,strong,spline,151,0.05301979930990184,7.442966001274932,0.15473658862905748
long,central,raw,central,31,0.6846203543001291,71.75444959390975,0.9178801352667337
long,central,light,central,31,0.39024621779233387,16.92485243876635,0.3465776928311883
long,central,strong,central,151,0.06878112108883301,2.642659479326927,0.3199257490622165
long,savgol,raw,savgol,31,0.425946601423121,19.45326496617779,0.2623491062453544
long,savgol,light,savgol,31,0.380961929684113,12.137288820981674,0.19560494881772944
long,savgol,strong,savgol,151,0.04692816731823447,1.5272657197325656,0.048022511603418284
long,spline,raw,spline,31,0.814967324248689,96.06698401631493,1.3286286915042647
long,spline,light,spline,31,0.3931412689669468,17.463521578810216,0.44520991263545445
long,spline,strong,spline,151,0.06906233176317592,2.7043947183784875,0.3864060684225729
